,Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Won,Lost,Won%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pass Cmp,Pass Att,Cmp%,KP,1/3.1,PPA,CrsPA,PrgP,TotDist.1,PrgDist.1,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Challenges,Challenge Att,Challenge%,Challenge Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
128,Reece Burke,CB,2023-2024,26,England,Luton Town,Premier League,22,1660,18.4,20,2,3,455,2080,1210,11,8,0,18,5.0,508,14.0,46,32,59.0,0,4,4,0,0.0,0,0.0,547,719,76.1,13,58,9.0,3,67,10396.0,4169.0,200,247,81.0,280,325,86.2,57,120,47.5,37,23,17,14,6.0,12,26,46.2,14,25.0,18,7,18.0,55,78,1.0
129,Dan Burn,LB,2023-2024,31,England,Newcastle Utd,Premier League,33,2726,30.3,32,1,0,924,3930,1664,14,7,3,15,10.0,1150,25.0,101,47,68.2,2,2,4,2,0.0,0,0.0,1351,1667,81.0,10,67,7.0,3,75,22402.0,8237.0,606,702,86.3,676,788,85.8,54,111,48.6,61,33,37,20,4.0,26,61,42.6,35,55.0,25,30,37.0,98,124,1.0
130,Marnon Busch,RB,2023-2024,28,Germany,Heidenheim,Bundesliga,16,595,6.6,5,11,5,225,1076,570,15,9,0,2,1.0,249,27.0,8,15,34.8,0,0,0,0,0.0,0,0.0,282,411,68.6,5,32,9.0,2,34,5437.0,2102.0,118,140,84.3,124,172,72.1,38,78,48.7,11,9,6,3,2.0,7,12,58.3,5,9.0,2,7,10.0,21,12,0.0
131,Pablo Busto,RB,2023-2024,17,Spain,Betis,La Liga,2,44,0.5,0,2,5,12,80,52,1,0,0,0,1.0,17,1.0,0,0,0.0,0,0,0,0,0.0,0,0.0,18,26,69.2,1,1,1.0,0,1,254.0,79.0,11,14,78.6,5,7,71.4,1,3,33.3,1,1,0,0,1.0,1,1,100.0,0,0.0,0,0,1.0,2,3,0.0
132,Aurélio Buta,RWB,2023-2024,26,Portugal,Eint Frankfurt,Bundesliga,30,1744,19.4,20,10,2,644,3001,1452,51,29,17,22,20.0,772,104.0,29,20,59.2,1,1,2,1,0.0,0,0.0,875,1112,78.7,9,71,26.0,6,90,12888.0,4356.0,502,570,88.1,293,378,77.5,47,96,49.0,40,25,19,16,5.0,21,38,55.3,17,24.0,5,19,15.0,55,36,0.0
133,Liberato Cacace,LB,2023-2024,22,New Zealand,Empoli,Serie A,31,1912,21.2,18,13,6,690,3935,2109,34,29,4,23,20.0,703,55.0,17,22,43.6,0,1,1,0,0.0,0,0.0,832,1110,75.0,21,67,13.0,5,84,14084.0,5589.0,427,475,89.9,321,403,79.7,75,186,40.3,40,24,24,13,3.0,24,38,63.2,14,23.0,6,17,19.0,59,56,0.0
134,Anthony Caci,LWB,2023-2024,26,France,Mainz 05,Bundesliga,31,2486,27.6,29,2,0,837,3889,2115,43,20,10,23,10.0,990,75.0,29,29,50.0,2,3,5,2,0.0,0,0.0,1118,1523,73.4,25,123,39.0,14,144,21669.0,9351.0,448,531,84.4,484,626,77.3,167,290,57.6,56,23,30,25,1.0,27,44,61.4,17,43.0,7,36,32.0,88,45,0.0
135,Davide Calabria,RB,2023-2024,26,Italy,Milan,Serie A,29,2185,24.3,26,3,4,932,4458,2474,31,31,2,19,9.0,1135,66.0,12,27,30.8,1,3,4,1,0.0,0,0.0,1320,1541,85.7,12,104,23.0,12,140,22285.0,6489.0,601,661,90.9,612,690,88.7,89,151,58.9,70,38,38,25,7.0,44,72,61.1,28,26.0,7,19,24.0,94,49,1.0
136,Riccardo Calafiori,LB,2023-2024,21,Italy,Bologna,Serie A,30,2349,26.1,26,4,6,1291,7277,4024,28,28,1,31,12.0,1408,23.0,60,24,71.4,2,5,7,2,0.0,0,0.0,1622,1810,89.6,17,94,10.0,3,96,28565.0,8660.0,684,737,92.8,792,844,93.8,123,172,71.5,47,32,28,16,3.0,22,32,68.8,10,38.0,13,25,50.0,97,74,3.0
137,Mattia Caldara,CB,2023-2024,29,Italy,Milan,Serie A,1,33,0.4,0,1,5,14,63,43,0,0,0,0,0.0,17,0.0,2,0,100.0,0,0,0,0,0.0,0,0.0,20,24,83.3,0,0,0.0,0,2,345.0,117.0,7,8,87.5,12,12,100.0,0,3,0.0,1,1,1,0,0.0,1,1,100.0,0,1.0,1,0,1.0,2,1,0.0
