Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,Cmp,Att,Cmp%,KP,PPA,CrsPA,PrgP,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Touches,Def 3rd Touch,Mid 3rd Touch,Att 3rd Touch,Live,Carries,TotDist,PrgDist,PrgC,1/3C,CPA,Mis,Dis,Sh,G/Sh,G/SoT,SoT,SoT%,Sh Dist,FK,xG,npxG,xA,G-xG,Live,Dead,FK,Sw,Crs,TI,CK,Head Won,Head Lost,Head Won%
Michael Olise,RW,2023-2024,21,fr FRA,Crystal Palace,eng Premier League,19,1275,14.2,14,5,540,721,74.9,36,34,3,78,300,339,88.5,154,195,79,55,116,47.4,5.5,4.7,5.8,11.3,5,10.5,+4.5,+4.3,0.08,56,0.16,20,35.7,18.5,4,56,0.16,0.45,20,35.7,10,6,16,9,1,1,0,959,10,483,958,10,6,16,1,1,0,605,7,15,31.8
Samu Omorodion,ST,2023-2024,19,es ESP,2 Teams,es La Liga,35,1998,22.2,22,13,242,337,71.8,18,5,0,18,145,185,78.4,72,97,74.2,10,15,66.7,11.5,11.5,1.3,12,0.6,12.8,-2.5,-2.5,0.17,67,0.13,26,38.8,13.3,0,67,0.13,0.35,26,38.8,9,1,10,9,0,0,0,624,18,292,624,9,1,10,0,0,0,291,61,94,39.4
Ryan One,ST,2023-2024,17,sct SCO,Sheffield Utd,eng Premier League,1,8,0.1,0,1,1,1,100,0,0,0,0,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,,0,,0,,,0,0,,,0,,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,1,0,0,
Karim Onisiwo,ST,2023-2024,31,at AUT,Mainz 05,de Bundesliga,24,1493,16.6,17,7,205,338,60.7,16,9,5,27,117,166,70.5,52,88,59.1,19,31,61.3,2.3,2.3,1.3,3.7,1.3,3.7,-1.3,-1.3,0.07,33,0.03,7,21.2,14.8,0,33,0.03,0.14,7,21.2,1,3,4,1,0,0,0,538,12,285,538,1,3,4,0,0,0,304,33,65,33.7
Loïs Openda,ST,2023-2024,23,be BEL,RB Leipzig,de Bundesliga,34,2697,30,33,1,348,524,66.4,35,21,5,45,211,281,75.1,92,128,71.9,13,31,41.9,22.1,19.7,5.8,27.9,4.6,25.5,+1.9,+2.3,0.17,118,0.19,59,50,14.2,1,118,0.19,0.37,59,50,24,7,31,22,2,3,1,860,20,528,857,24,7,31,2,3,1,495,22,31,41.5
Royce Openda Owaga,LW,2023-2024,21,ga GAB,Lorient,fr Ligue 1,1,16,0.2,0,1,2,3,66.7,0,0,0,0,1,2,50,1,1,100,0,0,,0,0,0,0,0,0,0,0,,0,,0,,,0,0,,,0,,0,0,0,0,0,0,0,5,0,1,5,0,0,0,0,0,0,3,0,1,0
Leon Opitz,LW,2023-2024,18,de GER,Werder Bremen,de Bundesliga,3,18,0.2,0,3,6,13,46.2,0,0,0,0,4,5,80,1,5,20,1,2,50,0,0,0,0,0,0,0,0,,0,,0,,,0,0,,,0,,0,0,0,0,0,0,0,17,0,4,17,0,0,0,0,0,0,9,0,0,
Gift Orban,ST,2023-2024,21,ng NGA,Lyon,fr Ligue 1,13,474,5.3,5,8,73,103,70.9,0,2,0,6,40,52,76.9,19,26,73.1,5,11,45.5,1.1,1.1,0,1.1,0.2,1.1,-0.1,-0.1,0.14,8,0.13,2,25,12.7,0,8,0.13,0.5,2,25,1,0,1,1,0,0,0,159,2,80,159,1,0,1,0,0,0,97,3,15,16.7
Divock Origi,ST,2023-2024,28,be BEL,Nott'ham Forest,eng Premier League,20,606,6.7,6,14,92,144,63.9,7,5,1,14,59,82,72,19,32,59.4,9,13,69.2,1.4,1.4,2.1,3.5,0.8,3.5,-1.4,-1.4,0.1,14,0,2,14.3,19.7,0,14,0,0,2,14.3,0,1,1,0,0,0,0,225,3,105,225,0,1,1,0,0,0,143,11,17,39.3
Gaetano Oristanio,SS,2023-2024,20,it ITA,Cagliari,it Serie A,25,1104,12.3,11,14,164,242,67.8,15,11,7,26,90,110,81.8,47,69,68.1,20,39,51.3,1.8,1.8,1.1,2.8,1,2.8,+0.2,+0.2,0.08,23,0.09,5,21.7,18.9,1,23,0.09,0.4,5,21.7,2,1,3,2,0,0,0,426,7,204,426,2,1,3,0,0,0,225,17,22,43.6
Riccardo Orsolini,RW,2023-2024,26,it ITA,Bologna,it Serie A,33,1792,19.9,19,14,490,731,67,36,22,4,71,269,312,86.2,142,219,64.8,59,121,48.8,7.4,5,4.4,11.8,3.9,9.4,+2.6,+3.0,0.09,55,0.15,22,40,18.1,5,55,0.15,0.36,22,40,10,2,12,8,2,3,1,981,23,482,978,10,2,12,2,3,1,646,16,17,48.5
Victor Osimhen,ST,2023-2024,24,ng NGA,Napoli,it Serie A,25,1982,22,22,3,194,290,66.9,23,6,0,23,120,158,75.9,52,72,72.2,4,13,30.8,15.4,11.4,3.1,18.5,0.9,14.6,-0.4,+0.6,0.13,85,0.14,36,42.4,13.4,0,85,0.14,0.33,36,42.4,15,3,18,12,3,5,2,549,20,340,544,15,3,18,3,5,2,269,37,47,44
William Osula,ST,2023-2024,19,dk DEN,Sheffield Utd,eng Premier League,21,786,8.7,9,12,49,93,52.7,1,2,1,2,33,56,58.9,8,20,40,2,5,40,1.6,1.6,0.1,1.7,0.2,1.7,-1.6,-1.6,0.08,21,0,8,38.1,14.4,0,21,0,0,8,38.1,0,0,0,0,0,0,0,200,9,104,200,0,0,0,0,0,0,90,24,70,25.5
