Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Sh,G/Sh,G/SoT,SoT,SoT%,Pos
Patrik Schick,2024-2025,28,cz CZE,Leverkusen,de Bundesliga,31,1684,18.7,19,12,2,21,0,21,20,1,1,0,68,0.29,0.59,34,50,FW
Esteban Lepaul,2025-2026,25,fr FRA,2 Teams,fr Ligue 1,34,2685,29.8,33,1,0,21,5,26,18,3,4,1,87,0.21,0.47,38,43.7,FW
Loïs Openda,2022-2023,22,be BEL,Lens,fr Ligue 1,38,2517,28,29,9,0,21,4,25,20,1,1,0,104,0.19,0.39,51,49,FW
Alexander Isak,2023-2024,23,se SWE,Newcastle,eng Premier League,30,2255,25.1,27,3,1,21,2,23,16,5,6,1,78,0.21,0.37,43,55.1,FW
Ante Budimir,2024-2025,33,hr CRO,Osasuna,es La Liga,38,2952,32.8,34,4,0,21,4,25,13,8,8,0,99,0.13,0.35,37,37.4,FW
Serhou Guirassy,2024-2025,28,gn GUI,Dortmund,de Bundesliga,30,2598,28.9,29,1,0,21,4,25,18,3,4,1,89,0.2,0.49,37,41.6,FW
Ousmane Dembélé,2024-2025,27,fr FRA,PSG,fr Ligue 1,29,1730,19.2,20,9,1,21,6,27,20,1,1,0,97,0.21,0.39,51,52.6,FW
Lautaro Martínez,2022-2023,24,ar ARG,Inter,it Serie A,38,2576,28.6,27,11,0,21,6,27,20,1,2,1,126,0.16,0.38,52,41.3,FW
Chris Wood,2024-2025,32,nz NZL,Nottingham,eng Premier League,36,2959,32.9,35,1,0,20,3,23,17,3,3,0,68,0.25,0.49,35,51.5,FW
Habib Diallo,2022-2023,27,sn SEN,Strasbourg,fr Ligue 1,37,2879,32,32,5,0,20,1,21,17,3,4,1,94,0.18,0.4,42,44.7,FW
Bryan Mbeumo,2024-2025,24,cm CMR,Brentford,eng Premier League,38,3414,37.9,38,0,0,20,7,27,15,5,6,1,85,0.18,0.37,41,48.2,"MF,FW"
Ivan Toney,2022-2023,26,eng ENG,Brentford,eng Premier League,33,2951,32.8,33,0,0,20,4,24,14,6,7,1,94,0.15,0.33,42,44.7,FW
