,Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,Cmp,Att,Cmp%,KP,PPA,CrsPA,PrgP,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Touches,Def 3rd Touch,Mid 3rd Touch,Att 3rd Touch,Live,Carries,TotDist,PrgDist,PrgC,1/3C,CPA,Mis,Dis,Sh,G/Sh,G/SoT,SoT,SoT%,Sh Dist,FK,xG,npxG,xA,G-xG,Live.1,Dead,FK.1,Sw,Crs,TI,CK,Head Won,Head Lost,Head Won%
348,Armand Lauriente,RW,2023-2024,24.0,France,Sassuolo,Serie A,37,2908,32.3,35,2,628.0,908.0,69.2,47.0,36.0,6.0,99.0,363.0,434.0,83.6,198.0,292.0,67.8,41.0,112,36.6,817.0,6280.0,3470.0,125.0,84.0,48.0,80.0,55.0,268.0,5.7,5.7,9.7,3.9,9.7,-0.7,-0.7,0.0,0.07,84,0.06,35.7,21.6,11.0,1292,9.0,130.0,453,740.0,118.0,4.0,5.0,805,103,15,11,135,14,72,5,4,9.0
349,Lázaro,RW,2023-2024,21.0,Brazil,Almería,La Liga,14,285,3.2,2,12,69.0,100.0,69.0,6.0,1.0,0.0,6.0,35.0,47.0,74.5,24.0,29.0,82.8,6.0,13,46.2,89.0,547.0,224.0,5.0,3.0,2.0,11.0,5.0,34.0,0.9,0.9,1.4,0.3,1.4,-0.9,-0.9,-0.5,0.11,8,0.0,50.0,18.3,0.0,152,2.0,19.0,64,69.0,14.0,0.0,0.0,87,12,4,2,12,3,5,0,0,0.0
350,Darko Lazović,LW,2023-2024,32.0,Serbia,Hellas Verona,Serie A,32,1928,21.4,22,10,431.0,671.0,64.2,31.0,21.0,7.0,66.0,218.0,265.0,82.3,155.0,233.0,66.5,49.0,116,42.2,443.0,2469.0,1210.0,43.0,21.0,14.0,22.0,16.0,139.0,2.8,2.0,7.3,3.5,6.4,0.2,0.0,-2.4,0.06,33,0.06,39.4,20.7,2.0,834,22.0,133.0,345,363.0,63.0,2.0,2.0,581,88,18,3,97,41,28,3,2,5.0
351,Jérémy Le Douaron,LW,2023-2024,25.0,France,Brest,Ligue 1,33,1618,18.0,19,14,252.0,387.0,65.1,10.0,8.0,5.0,21.0,145.0,196.0,74.0,73.0,105.0,69.5,18.0,37,48.6,453.0,3288.0,1227.0,48.0,31.0,15.0,53.0,24.0,130.0,6.2,6.2,7.2,1.5,7.2,-2.2,-2.2,-1.0,0.12,50,0.08,38.0,13.2,0.0,626,14.0,72.0,227,334.0,83.0,0.0,4.0,385,2,1,3,44,1,0,4,0,4.0
352,Rafael Leão,LW,2023-2024,24.0,Portugal,Milan,Serie A,34,2512,27.9,29,5,760.0,1032.0,73.6,59.0,62.0,17.0,117.0,399.0,487.0,81.9,286.0,370.0,77.3,57.0,101,56.4,937.0,7403.0,4060.0,160.0,99.0,82.0,66.0,41.0,293.0,10.0,10.0,19.1,8.1,19.1,-1.0,-1.0,-0.1,0.14,70,0.13,34.3,17.1,0.0,1351,20.0,75.0,575,725.0,179.0,9.0,9.0,984,42,5,8,108,25,10,9,9,18.0
353,Robert Lewandowski,ST,2023-2024,34.0,Poland,Barcelona,La Liga,35,2750,30.6,32,3,416.0,592.0,70.3,27.0,25.0,4.0,64.0,248.0,311.0,79.7,120.0,168.0,71.4,21.0,35,60.0,529.0,2549.0,1019.0,43.0,28.0,20.0,86.0,28.0,168.0,18.1,15.0,23.1,3.6,19.9,0.9,0.0,3.1,0.17,90,0.17,41.1,13.9,3.0,900,24.0,47.0,361,502.0,165.0,8.0,15.0,569,16,2,5,18,1,0,19,8,27.0
354,Jamie Leweling,RW,2023-2024,22.0,Germany,Stuttgart,Bundesliga,34,1523,16.9,17,17,470.0,599.0,78.5,23.0,18.0,10.0,35.0,291.0,337.0,86.4,136.0,175.0,77.7,21.0,41,51.2,534.0,3571.0,1860.0,65.0,38.0,28.0,46.0,39.0,172.0,6.1,6.1,9.3,3.1,9.3,-2.1,-2.1,0.8,0.14,44,0.09,50.0,15.9,0.0,829,18.0,97.0,330,419.0,89.0,4.0,4.0,580,19,1,2,46,16,1,4,4,8.0
355,Keane Lewis-Potter,LW,2023-2024,22.0,England,Brentford,Premier League,30,1441,16.0,15,15,289.0,415.0,69.6,13.0,14.0,4.0,32.0,169.0,206.0,82.0,89.0,119.0,74.8,19.0,56,33.9,370.0,2822.0,1632.0,56.0,32.0,24.0,30.0,18.0,135.0,6.3,6.3,8.0,2.0,8.0,-3.3,-3.3,-0.7,0.15,43,0.07,46.5,12.8,0.0,604,32.0,107.0,173,330.0,84.0,1.0,3.0,404,10,3,4,50,6,0,3,1,4.0
356,Jesper Lindstrøm,RW,2023-2024,23.0,Denmark,2 Teams,2 Comps,23,513,5.7,3,20,212.0,261.0,81.2,13.0,7.0,1.0,17.0,129.0,141.0,91.5,55.0,68.0,80.9,13.0,18,72.2,218.0,1416.0,594.0,18.0,14.0,5.0,23.0,10.0,43.0,0.9,0.9,1.7,1.0,1.9,-0.9,-0.9,-1.0,0.06,15,0.0,13.3,20.7,1.0,351,2.0,30.0,147,178.0,24.0,0.0,0.0,246,15,4,2,13,6,4,0,0,0.0
357,Andy Logbo,ST,2023-2024,19.0,France,Le Havre,Ligue 1,10,248,2.8,2,8,31.0,40.0,77.5,3.0,0.0,0.0,2.0,18.0,23.0,78.3,7.0,10.0,70.0,1.0,2,50.0,55.0,290.0,57.0,1.0,0.0,1.0,16.0,7.0,7.0,0.3,0.3,0.5,0.2,0.5,-0.3,-0.3,-0.1,0.08,4,0.0,0.0,13.1,0.0,79,4.0,9.0,36,35.0,12.0,0.0,0.0,38,2,0,0,1,0,0,0,0,0.0
358,Ademola Lookman,SS,2023-2024,25.0,Nigeria,Atalanta,Serie A,31,1894,21.0,22,9,635.0,838.0,75.8,50.0,32.0,2.0,97.0,376.0,441.0,85.3,201.0,247.0,81.4,29.0,74,39.2,699.0,4257.0,1972.0,72.0,42.0,35.0,66.0,42.0,222.0,9.1,9.1,14.3,4.8,14.3,1.9,1.9,1.8,0.14,67,0.16,35.8,14.3,0.0,1109,2.0,54.0,458,607.0,129.0,7.0,11.0,759,79,6,4,69,8,52,11,7,18.0
359,Lorenzo Lucca,ST,2023-2024,22.0,Italy,Udinese,Serie A,37,2592,28.8,30,7,271.0,454.0,59.7,20.0,5.0,0.0,18.0,139.0,220.0,63.2,93.0,149.0,62.4,15.0,21,71.4,436.0,1829.0,459.0,10.0,16.0,5.0,85.0,48.0,118.0,7.8,7.8,9.4,0.6,9.4,0.2,0.2,2.4,0.13,61,0.13,41.0,12.9,1.0,772,41.0,91.0,377,313.0,93.0,4.0,8.0,432,18,0,3,8,2,0,8,4,12.0
360,José Luis Morales,ST,2023-2024,36.0,Spain,Villarreal,La Liga,29,1048,11.6,8,21,154.0,214.0,72.0,4.0,3.0,1.0,17.0,93.0,111.0,83.8,47.0,69.0,68.1,12.0,17,70.6,203.0,1306.0,720.0,29.0,16.0,19.0,25.0,13.0,79.0,5.6,5.6,6.1,0.8,6.1,1.4,1.4,-0.6,0.21,26,0.27,46.2,13.3,0.0,337,10.0,47.0,144,153.0,44.0,0.0,7.0,204,7,0,2,10,0,0,7,0,7.0
361,Romelu Lukaku,ST,2023-2024,30.0,Belgium,Roma,Serie A,32,2641,29.3,30,2,438.0,621.0,70.5,29.0,13.0,3.0,37.0,271.0,351.0,77.2,114.0,155.0,73.5,11.0,25,44.0,500.0,2060.0,1019.0,37.0,24.0,22.0,52.0,32.0,234.0,9.8,9.0,12.2,1.5,11.4,3.2,4.0,0.6,0.14,64,0.2,42.2,14.1,0.0,843,22.0,59.0,346,448.0,141.0,3.0,13.0,574,40,0,1,13,0,0,13,3,16.0
362,Dodi Lukebakio,LW,2023-2024,25.0,Belgium,Sevilla,La Liga,23,1125,12.5,12,11,269.0,351.0,76.6,13.0,10.0,4.0,26.0,153.0,173.0,88.4,80.0,100.0,80.0,23.0,40,57.5,369.0,2713.0,1336.0,48.0,31.0,24.0,44.0,19.0,116.0,5.6,5.6,6.2,1.1,6.2,-0.6,-0.6,0.3,0.13,42,0.12,40.5,14.4,1.0,520,8.0,36.0,193,298.0,67.0,1.0,5.0,337,11,4,4,36,2,2,5,1,6.0
363,Zito Luvumbo,ST,2023-2024,21.0,Angola,Cagliari,Serie A,30,1946,21.6,19,11,246.0,388.0,63.4,26.0,21.0,19.0,21.0,122.0,151.0,80.8,98.0,147.0,66.7,14.0,41,34.1,463.0,3510.0,1983.0,85.0,43.0,45.0,69.0,47.0,181.0,4.0,4.0,7.1,2.7,7.1,0.0,0.0,1.9,0.08,51,0.08,31.4,17.3,0.0,646,2.0,50.0,186,427.0,123.0,5.0,4.0,354,29,3,2,82,10,8,4,5,9.0
364,Othmane Maamma,RW,2023-2024,17.0,France,Montpellier,Ligue 1,2,88,1.0,1,1,25.0,32.0,78.1,3.0,1.0,0.0,2.0,16.0,18.0,88.9,8.0,11.0,72.7,1.0,2,50.0,39.0,448.0,138.0,7.0,6.0,3.0,5.0,5.0,3.0,0.3,0.3,0.7,0.1,0.7,0.7,0.7,-0.5,0.09,3,0.33,33.3,14.6,0.0,49,1.0,9.0,23,22.0,5.0,0.0,1.0,32,0,0,0,4,0,0,1,0,1.0
365,Noni Madueke,RW,2023-2024,21.0,England,Chelsea,Premier League,23,1053,11.7,13,10,412.0,486.0,84.8,20.0,13.0,2.0,52.0,268.0,294.0,91.2,115.0,136.0,84.6,13.0,20,65.0,428.0,3556.0,2191.0,76.0,36.0,38.0,25.0,14.0,136.0,2.5,1.7,5.1,2.0,4.3,2.5,2.3,-0.6,0.05,31,0.13,38.7,19.0,0.0,666,18.0,85.0,224,373.0,77.0,2.0,4.0,472,10,2,0,22,6,2,5,2,7.0
366,Frank Magri,ST,2023-2024,23.0,Cameroon,Toulouse,Ligue 1,29,1438,16.0,14,15,231.0,333.0,69.4,14.0,13.0,4.0,34.0,126.0,164.0,76.8,86.0,124.0,69.4,4.0,12,33.3,375.0,2367.0,891.0,31.0,17.0,11.0,38.0,25.0,121.0,3.1,3.1,4.7,1.1,4.7,1.9,1.9,0.4,0.07,41,0.12,34.1,16.3,0.0,520,20.0,57.0,210,262.0,63.0,2.0,5.0,323,9,0,1,17,4,0,5,2,7.0
367,Jon Magunacelaya,ST,2023-2024,23.0,Spain,Real Sociedad,La Liga,5,121,1.3,1,4,30.0,45.0,66.7,1.0,0.0,0.0,2.0,17.0,24.0,70.8,10.0,15.0,66.7,0.0,0,,33.0,145.0,83.0,2.0,2.0,0.0,3.0,2.0,10.0,0.3,0.3,0.7,0.3,0.7,-0.3,-0.3,-0.5,0.07,4,0.0,0.0,15.5,0.0,68,2.0,12.0,30,26.0,6.0,0.0,0.0,45,0,0,0,3,0,0,0,0,0.0
368,Linton Maina,LW,2023-2024,24.0,Germany,Köln,Bundesliga,31,1901,21.1,21,10,484.0,661.0,73.2,20.0,16.0,5.0,61.0,295.0,343.0,86.0,161.0,209.0,77.0,21.0,46,45.7,599.0,5140.0,2671.0,109.0,64.0,47.0,38.0,27.0,169.0,1.9,1.9,5.0,3.3,5.0,-0.9,-0.9,-0.1,0.06,33,0.03,33.3,19.8,0.0,846,14.0,110.0,334,429.0,82.0,3.0,1.0,613,47,3,1,74,40,3,1,3,4.0
369,Donyell Malen,RW,2023-2024,24.0,Netherlands,Dortmund,Bundesliga,27,1781,19.8,21,6,410.0,546.0,75.1,22.0,36.0,6.0,57.0,262.0,310.0,84.5,109.0,144.0,75.7,18.0,33,54.5,558.0,3933.0,1957.0,73.0,49.0,45.0,51.0,39.0,163.0,9.5,9.5,12.5,3.4,12.5,3.5,3.5,-2.0,0.14,72,0.18,50.0,16.5,2.0,800,10.0,78.0,262,475.0,118.0,1.0,13.0,525,18,4,4,39,9,4,13,1,14.0
370,Aaron Malouda,LW,2023-2024,17.0,France,Lille,Ligue 1,1,1,0.0,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
371,David Mamutovic,RW,2023-2024,22.0,Germany,Mainz 05,Bundesliga,2,11,0.1,0,2,7.0,10.0,70.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,3.0,4.0,75.0,0.0,0,,7.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,0.0,12,0.0,2.0,7,3.0,0.0,0.0,0.0,10,0,0,0,1,0,0,0,0,0.0
372,Solly March,RW,2023-2024,29.0,England,Brighton,Premier League,7,554,6.2,7,0,203.0,261.0,77.8,7.0,7.0,0.0,24.0,118.0,139.0,84.9,62.0,78.0,79.5,17.0,27,63.0,198.0,975.0,491.0,14.0,7.0,3.0,8.0,10.0,44.0,2.0,2.0,2.9,1.0,2.9,1.0,1.0,0.0,0.14,14,0.21,42.9,16.6,1.0,336,12.0,71.0,123,145.0,18.0,1.0,3.0,222,39,8,1,21,19,12,3,1,4.0
373,Alberto Marí,ST,2023-2024,22.0,Spain,Valencia,La Liga,16,276,3.1,2,14,38.0,61.0,62.3,6.0,1.0,0.0,6.0,22.0,30.0,73.3,11.0,16.0,68.8,2.0,2,100.0,44.0,182.0,85.0,2.0,1.0,2.0,11.0,3.0,13.0,1.8,1.2,2.7,0.9,2.0,-0.8,-1.2,0.1,0.2,6,0.0,33.3,11.4,0.0,102,6.0,15.0,31,56.0,15.0,1.0,0.0,56,5,0,0,2,0,0,1,1,2.0
374,Mariano,ST,2023-2024,29.0,Dominican Republic,Sevilla,La Liga,9,244,2.7,2,7,37.0,53.0,69.8,2.0,1.0,1.0,6.0,19.0,26.0,73.1,10.0,14.0,71.4,5.0,8,62.5,45.0,329.0,111.0,3.0,3.0,3.0,9.0,6.0,17.0,1.2,1.2,1.3,0.1,1.3,-1.2,-1.2,-0.1,0.09,14,0.0,14.3,14.7,0.0,85,2.0,3.0,33,49.0,16.0,0.0,0.0,46,7,0,1,1,1,0,0,0,0.0
375,Mirko Marić,ST,2023-2024,28.0,Croatia,Monza,Serie A,10,287,3.2,1,9,66.0,91.0,72.5,5.0,1.0,0.0,4.0,45.0,53.0,84.9,15.0,21.0,71.4,1.0,2,50.0,71.0,232.0,91.0,2.0,3.0,1.0,10.0,5.0,30.0,0.9,0.9,1.3,0.2,1.3,0.1,0.1,-0.5,0.12,7,0.14,28.6,10.4,0.0,135,4.0,9.0,59,69.0,20.0,0.0,1.0,87,4,0,0,1,0,0,1,0,1.0
376,Omar Marmoush,ST,2023-2024,24.0,Egypt,Eint Frankfurt,Bundesliga,29,2301,25.6,27,2,407.0,574.0,70.9,40.0,21.0,2.0,60.0,218.0,273.0,79.9,135.0,180.0,75.0,32.0,56,57.1,647.0,4713.0,2153.0,88.0,52.0,40.0,99.0,58.0,165.0,11.6,10.1,16.0,4.4,14.5,0.4,-0.1,1.6,0.13,77,0.13,40.3,17.6,5.0,940,5.0,60.0,403,503.0,155.0,6.0,10.0,494,78,7,5,33,5,16,12,6,18.0
377,Marquinhos,RW,2023-2024,20.0,Brazil,Nantes,Ligue 1,7,154,1.7,1,6,50.0,67.0,74.6,5.0,4.0,2.0,4.0,30.0,37.0,81.1,18.0,21.0,85.7,2.0,6,33.3,66.0,308.0,115.0,2.0,2.0,1.0,2.0,6.0,11.0,0.3,0.3,1.0,0.7,1.0,-0.3,-0.3,-0.7,0.05,5,0.0,20.0,20.7,1.0,99,3.0,17.0,42,40.0,8.0,0.0,0.0,62,5,1,0,5,3,0,0,0,0.0
378,Roger Martí,ST,2023-2024,32.0,Spain,Cádiz,La Liga,23,1359,15.1,18,5,225.0,344.0,65.4,11.0,6.0,0.0,19.0,140.0,191.0,73.3,69.0,98.0,70.4,9.0,23,39.1,309.0,1260.0,390.0,7.0,15.0,2.0,47.0,20.0,64.0,2.8,2.8,5.6,1.3,5.6,-0.8,-0.8,0.1,0.08,33,0.06,36.4,17.8,0.0,503,7.0,33.0,263,216.0,53.0,3.0,2.0,313,28,1,2,9,0,0,2,3,5.0
379,Anthony Martial,ST,2023-2024,27.0,France,Manchester Utd,Premier League,13,448,5.0,5,8,109.0,139.0,78.4,6.0,2.0,0.0,12.0,70.0,80.0,87.5,25.0,33.0,75.8,1.0,2,50.0,105.0,444.0,168.0,6.0,6.0,1.0,14.0,10.0,36.0,1.2,1.2,1.5,0.2,1.5,-0.2,-0.2,-0.2,0.2,6,0.17,66.7,12.9,0.0,178,3.0,11.0,81,89.0,16.0,0.0,1.0,131,6,0,0,0,0,0,1,0,1.0
380,Gabriel Martinelli,LW,2023-2024,22.0,Brazil,Arsenal,Premier League,35,2019,22.4,24,11,724.0,929.0,77.9,46.0,33.0,7.0,65.0,424.0,490.0,86.5,237.0,292.0,81.2,47.0,85,55.3,856.0,5863.0,2981.0,127.0,49.0,82.0,54.0,41.0,345.0,6.8,6.8,12.9,5.2,12.9,-0.8,-0.8,-2.1,0.12,58,0.1,34.5,15.6,0.0,1241,12.0,96.0,315,844.0,196.0,4.0,6.0,878,49,3,3,109,11,35,6,4,10.0
381,Lautaro Martínez,ST,2023-2024,25.0,Argentina,Inter,Serie A,33,2656,29.5,31,2,604.0,782.0,77.2,36.0,21.0,2.0,80.0,328.0,393.0,83.5,194.0,232.0,83.6,41.0,59,69.5,735.0,3228.0,1486.0,54.0,29.0,28.0,68.0,45.0,172.0,17.6,15.3,21.2,2.0,18.8,6.4,6.7,-0.6,0.15,105,0.21,41.9,14.2,0.0,1176,12.0,88.0,532,564.0,178.0,3.0,22.0,734,42,4,3,15,1,0,24,3,27.0
382,Marvin,RW,2023-2024,23.0,Spain,Las Palmas,La Liga,31,1855,20.6,17,14,557.0,774.0,72.0,13.0,13.0,6.0,36.0,316.0,378.0,83.6,203.0,266.0,76.3,17.0,52,32.7,574.0,3530.0,1535.0,60.0,40.0,13.0,52.0,23.0,177.0,0.9,0.9,3.5,2.0,3.5,-0.9,-0.9,-0.5,0.07,14,0.0,21.4,17.3,0.0,1011,26.0,174.0,416,433.0,50.0,2.0,0.0,723,49,5,1,91,43,1,0,2,2.0
383,Jaime Mata,ST,2023-2024,34.0,Spain,Getafe,La Liga,35,1787,19.9,22,13,340.0,521.0,65.3,18.0,11.0,6.0,19.0,219.0,281.0,77.9,88.0,142.0,62.0,14.0,39,35.9,370.0,1456.0,479.0,16.0,16.0,7.0,47.0,20.0,138.0,5.6,5.6,7.2,1.6,7.2,-0.6,-0.6,-0.5,0.18,32,0.16,37.5,13.8,0.0,731,32.0,109.0,255,370.0,72.0,1.0,5.0,502,17,1,1,39,8,1,5,1,6.0
384,Jean-Philippe Mateta,ST,2023-2024,26.0,France,Crystal Palace,Premier League,35,2282,25.4,25,10,309.0,433.0,71.4,32.0,14.0,4.0,25.0,195.0,245.0,79.6,75.0,112.0,67.0,13.0,14,92.9,427.0,2104.0,740.0,29.0,15.0,14.0,89.0,78.0,135.0,10.9,9.4,14.1,1.3,12.5,5.1,4.6,1.9,0.21,44,0.32,56.8,12.7,0.0,725,19.0,66.0,303,373.0,102.0,5.0,14.0,421,12,0,3,20,0,0,16,5,21.0
385,Neal Maupay,ST,2023-2024,26.0,France,2 Teams,Premier League,31,1432,15.9,14,17,304.0,418.0,72.7,16.0,17.0,2.0,37.0,184.0,221.0,83.3,74.0,106.0,69.8,24.0,33,72.7,315.0,1510.0,605.0,22.0,24.0,13.0,34.0,27.0,97.0,7.2,7.2,8.1,2.3,9.6,-1.2,-1.2,0.6,0.17,42,0.14,42.9,14.9,1.0,572,7.0,60.0,242,281.0,79.0,3.0,6.0,385,31,6,3,8,10,1,6,3,9.0
386,Borja Mayoral,ST,2023-2024,26.0,Spain,Getafe,La Liga,27,2153,23.9,25,2,422.0,558.0,75.6,20.0,7.0,2.0,67.0,216.0,252.0,85.7,124.0,166.0,74.7,48.0,63,76.2,481.0,2206.0,912.0,27.0,29.0,11.0,69.0,28.0,100.0,11.9,8.7,13.3,1.3,10.1,3.1,2.3,-0.4,0.2,43,0.26,53.5,15.8,0.0,775,16.0,51.0,377,352.0,71.0,1.0,11.0,530,26,0,8,22,1,1,15,1,16.0
387,Youssef Maziz,AM,2023-2024,25.0,France,Metz,Ligue 1,2,124,1.4,2,0,30.0,39.0,76.9,3.0,0.0,0.0,6.0,10.0,11.0,90.9,14.0,16.0,87.5,5.0,10,50.0,40.0,238.0,102.0,2.0,3.0,0.0,3.0,1.0,2.0,0.1,0.1,0.2,0.1,0.2,0.9,0.9,-0.1,0.04,3,0.33,33.3,19.4,0.0,53,2.0,9.0,30,15.0,2.0,0.0,1.0,33,5,1,2,4,1,3,1,0,1.0
388,Kylian Mbappé,LW,2023-2024,24.0,France,Paris S-G,Ligue 1,29,2158,24.0,24,5,801.0,965.0,83.0,40.0,44.0,1.0,122.0,472.0,536.0,88.1,235.0,288.0,81.6,55.0,67,82.1,1148.0,6749.0,3213.0,114.0,69.0,66.0,56.0,35.0,286.0,21.0,14.5,26.6,5.2,20.2,6.0,6.5,1.3,0.13,112,0.19,44.6,18.3,2.0,1264,1.0,31.0,441,801.0,207.0,7.0,21.0,936,24,5,10,23,6,7,27,7,34.0
389,Bryan Mbeumo,RW,2023-2024,23.0,Cameroon,Brentford,Premier League,25,1960,21.8,22,3,511.0,765.0,66.8,32.0,36.0,4.0,88.0,299.0,373.0,80.2,144.0,220.0,65.5,48.0,91,52.7,667.0,4326.0,2115.0,74.0,52.0,38.0,67.0,39.0,195.0,9.8,7.4,14.4,5.6,12.1,-0.8,-1.4,1.4,0.15,50,0.12,32.0,17.1,4.0,1045,26.0,108.0,350,599.0,111.0,6.0,6.0,668,89,26,4,92,15,47,9,6,15.0
390,Jordi Mboula,RW,2023-2024,24.0,Spain,Hellas Verona,Serie A,11,307,3.4,5,6,46.0,69.0,66.7,3.0,0.0,0.0,4.0,23.0,29.0,79.3,14.0,16.0,87.5,4.0,8,50.0,66.0,581.0,225.0,10.0,2.0,5.0,8.0,7.0,22.0,0.2,0.2,0.6,0.1,0.6,-0.2,-0.2,0.6,0.05,4,0.0,25.0,15.9,0.0,98,2.0,10.0,39,49.0,11.0,1.0,0.0,68,1,1,1,8,0,0,0,1,1.0
391,Nathanael Mbuku,RW,2023-2024,21.0,France,Augsburg,Bundesliga,1,5,0.1,0,1,6.0,7.0,85.7,1.0,0.0,0.0,1.0,5.0,6.0,83.3,0.0,0.0,,0.0,0,,9.0,67.0,51.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.03,1,0.0,0.0,23.7,0.0,10,0.0,0.0,4,6.0,1.0,0.0,0.0,7,0,0,0,0,0,0,0,0,0.0
392,Oliver McBurnie,ST,2023-2024,27.0,Scotland,Sheffield Utd,Premier League,21,1280,14.2,15,6,242.0,408.0,59.3,12.0,5.0,1.0,30.0,163.0,256.0,63.7,57.0,97.0,58.8,4.0,7,57.1,245.0,923.0,305.0,6.0,11.0,4.0,25.0,18.0,60.0,6.9,5.3,8.9,2.0,7.3,-0.9,-1.3,1.0,0.17,31,0.13,48.4,11.9,0.0,583,31.0,68.0,288,230.0,74.0,3.0,4.0,400,3,0,1,5,0,0,6,3,9.0
393,Memphis,ST,2023-2024,29.0,Netherlands,Atlético Madrid,La Liga,23,893,9.9,9,14,195.0,264.0,73.9,13.0,9.0,2.0,27.0,121.0,149.0,81.2,49.0,60.0,81.7,16.0,25,64.0,243.0,1126.0,498.0,16.0,11.0,7.0,42.0,22.0,82.0,5.8,5.8,7.6,1.6,7.6,-0.8,-0.8,-0.8,0.15,38,0.13,39.5,17.5,3.0,407,1.0,28.0,180,206.0,64.0,1.0,5.0,238,23,4,4,12,2,7,5,1,6.0
394,Lucas Michal,LW,2023-2024,18.0,France,Monaco,Ligue 1,1,7,0.1,0,1,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,,0.0,0,,1.0,34.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0
395,Sven Michel,SS,2023-2024,33.0,Germany,Augsburg,Bundesliga,22,583,6.5,5,17,97.0,173.0,56.1,10.0,11.0,4.0,14.0,58.0,85.0,68.2,27.0,52.0,51.9,7.0,10,70.0,135.0,600.0,204.0,6.0,3.0,4.0,22.0,11.0,44.0,2.4,0.8,3.3,0.8,1.7,-0.4,0.2,0.2,0.07,12,0.08,41.7,20.7,0.0,248,3.0,21.0,94,133.0,39.0,1.0,1.0,155,15,0,0,10,2,0,2,1,3.0
396,Georges Mikautadze,ST,2023-2024,22.0,Georgia,Metz,Ligue 1,20,1747,19.4,20,0,299.0,430.0,69.5,21.0,13.0,1.0,51.0,141.0,187.0,75.4,116.0,157.0,73.9,19.0,37,51.4,467.0,3591.0,1583.0,52.0,35.0,24.0,44.0,25.0,95.0,9.5,7.2,11.9,1.0,9.5,3.5,2.8,1.6,0.13,55,0.18,43.6,17.7,4.0,669,4.0,44.0,343,304.0,78.0,4.0,10.0,358,67,9,1,34,4,8,13,4,17.0
397,Arkadiusz Milik,ST,2023-2024,29.0,Poland,Juventus,Serie A,32,919,10.2,7,25,215.0,270.0,79.6,15.0,8.0,0.0,22.0,129.0,156.0,82.7,67.0,86.0,77.9,11.0,14,78.6,242.0,894.0,331.0,12.0,8.0,3.0,30.0,12.0,49.0,5.1,5.1,7.7,0.7,7.7,-1.1,-1.1,-1.6,0.14,37,0.11,35.1,13.6,3.0,391,3.0,36.0,182,175.0,52.0,1.0,4.0,260,9,1,2,4,1,0,4,1,5.0
398,Jovan Milošević,ST,2023-2024,18.0,Serbia,Stuttgart,Bundesliga,5,28,0.3,0,5,8.0,13.0,61.5,0.0,0.0,0.0,1.0,4.0,5.0,80.0,2.0,3.0,66.7,0.0,1,0.0,13.0,67.0,29.0,1.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,0.0,17,0.0,1.0,9,7.0,1.0,0.0,0.0,12,1,0,0,0,1,0,0,0,0.0
399,Marko Milovanović,ST,2023-2024,19.0,Serbia,Almería,La Liga,11,308,3.4,2,9,43.0,68.0,63.2,2.0,1.0,0.0,3.0,30.0,41.0,73.2,9.0,15.0,60.0,0.0,2,0.0,1.5,1.5,0.1,1.6,0.1,1.6,-0.5,-0.5,0.31,5.0,0.2,1.0,20.0,16.2,0.0,5.0,0.2,1.0,1,20.0,1.0,0.0,1.0,1,0.0,0.0,0,102.0,5.0,34.0,102.0,1,0,1,0,0,0,64,13,23,36.1
400,Rafa Mir,ST,2023-2024,26.0,Spain,Sevilla,La Liga,15,391,4.3,3,12,61.0,88.0,69.3,5.0,1.0,1.0,2.0,32.0,41.0,78.0,24.0,30.0,80.0,2.0,5,40.0,1.4,1.4,0.3,1.7,0.1,1.7,0.6,0.6,0.1,15.0,0.13,7.0,46.7,16.9,0.0,15.0,0.13,0.29,7,46.7,2.0,0.0,2.0,2,0.0,0.0,0,136.0,2.0,67.0,136.0,2,0,2,0,0,0,83,12,19,38.7
