,Player,Pos,Season,Age,Team,Comp,Ideal Archetype
95,Sam Beukema,CB,2023-2024,24,Bologna,Serie A,Libero
96,Jordan Beyer,CB,2023-2024,23,Burnley,Premier League,Libero
97,Jaka Bijol,CB,2023-2024,24,Udinese,Serie A,Libero
99,Davide Biraschi,CB,2023-2024,29,Genoa,Serie A,Ball Playing Center Back
101,Hendry Blank,CB,2023-2024,18,Dortmund,Bundesliga,Ball Playing Center Back
102,Daley Blind,CB,2023-2024,33,Girona,La Liga,Libero
103,Jérôme Boateng,CB,2023-2024,34,Salernitana,Serie A,Ball Playing Center Back
106,Willy Boly,CB,2023-2024,32,Nott'ham Forest,Premier League,Ball Playing Center Back
107,Giovanni Bonfanti,CB,2023-2024,20,Atalanta,Serie A,Ball Playing Center Back
108,Kevin Bonifazi,CB,2023-2024,27,Bologna,Serie A,Ball Playing Center Back
109,Leonardo Bonucci,CB,2023-2024,36,Union Berlin,Bundesliga,Ball Playing Center Back
111,Sebastiaan Bornauw,CB,2023-2024,24,Wolfsburg,Bundesliga,Ball Playing Center Back
112,Adri Bosch,CB,2023-2024,22,Granada,La Liga,Ball Playing Center Back
113,Sven Botman,CB,2023-2024,23,Newcastle Utd,Premier League,Libero
116,Juan Brandáriz,CB,2023-2024,24,Almería,La Liga,Libero
117,Jarrad Branthwaite,CB,2023-2024,21,Everton,Premier League,Libero
118,Lilian Brassier,CB,2023-2024,23,Brest,Ligue 1,Libero
120,Gleison Bremer,CB,2023-2024,26,Juventus,Serie A,Libero
121,Dylan Bronn,CB,2023-2024,28,Salernitana,Serie A,Ball Playing Center Back
122,John Brooks,CB,2023-2024,30,Hoffenheim,Bundesliga,Libero
125,Santiago Bueno,CB,2023-2024,24,Wolves,Premier League,Ball Playing Center Back
127,Alessandro Buongiorno,CB,2023-2024,24,Torino,Serie A,Libero
128,Reece Burke,CB,2023-2024,26,Luton Town,Premier League,Ball Playing Center Back
137,Mattia Caldara,CB,2023-2024,29,Milan,Serie A,Ball Playing Center Back
138,Luca Caldirola,CB,2023-2024,32,Monza,Serie A,Libero
139,Duje Ćaleta-Car,CB,2023-2024,26,Lyon,Ligue 1,Libero
142,Fali Candé,CB,2023-2024,25,Metz,Ligue 1,Libero
143,Andrea Carboni,CB,2023-2024,22,Monza,Serie A,Libero
147,Diego Carlos,CB,2023-2024,30,Aston Villa,Premier League,Libero
152,Nicolò Casale,CB,2023-2024,25,Lazio,Serie A,Libero
153,Kaelan Casey,CB,2023-2024,18,West Ham,Premier League,Central Defender
156,Jean-Charles Castelletto,CB,2023-2024,28,Nantes,Ligue 1,Libero
157,Catena,CB,2023-2024,28,Osasuna,La Liga,Libero
158,Maximiliano Caufriez,CB,2023-2024,26,Clermont Foot,Ligue 1,Libero
162,Julian Chabot,CB,2023-2024,25,Köln,Bundesliga,Libero
163,El Chadaille Bitshiabu,CB,2023-2024,18,RB Leipzig,Bundesliga,Ball Playing Center Back
164,Trevoh Chalobah,CB,2023-2024,24,Chelsea,Premier League,Ball Playing Center Back
165,Brendan Chardonnet,CB,2023-2024,28,Brest,Ligue 1,Libero
168,Fabio Chiarodia,CB,2023-2024,18,Gladbach,Bundesliga,Ball Playing Center Back
170,Andreas Christensen,CB,2023-2024,27,Barcelona,La Liga,Libero
171,Víctor Chust,CB,2023-2024,23,Cádiz,La Liga,Libero
172,Giorgio Cittadini,CB,2023-2024,21,Frosinone,Serie A,Ball Playing Center Back
177,Saúl Coco,CB,2023-2024,24,Las Palmas,La Liga,Libero
180,Nathan Collins,CB,2023-2024,22,Brentford,Premier League,Libero
182,Levi Colwill,CB,2023-2024,20,Chelsea,Premier League,Central Defender
183,Eray Cömert,CB,2023-2024,25,Nantes,Ligue 1,Central Defender
185,Copete,CB,2023-2024,23,Mallorca,La Liga,Central Defender
186,Diego Coppola,CB,2023-2024,19,Hellas Verona,Serie A,Central Defender
191,Logan Costa,CB,2023-2024,22,Toulouse,Ligue 1,Central Defender
194,Nicolas Cozza,CB,2023-2024,24,Wolfsburg,Bundesliga,Central Defender
198,Pau Cubarsí,CB,2023-2024,16,Barcelona,La Liga,Central Defender
200,Jorge Cuenca,CB,2023-2024,23,Villarreal,La Liga,Central Defender
201,Eric Curbelo,CB,2023-2024,29,Las Palmas,La Liga,Central Defender
204,Ameen Al-Dakhil,CB,2023-2024,21,Burnley,Premier League,Central Defender
206,Flavius Daniliuc,CB,2023-2024,22,Salernitana,Serie A,Central Defender
207,Danilo,CB,2023-2024,32,Juventus,Serie A,Central Defender
208,Kevin Danso,CB,2023-2024,24,Lens,Ligue 1,Central Defender
209,Dante,CB,2023-2024,39,Nice,Ligue 1,Central Defender
210,Achraf Dari,CB,2023-2024,24,Brest,Ligue 1,Central Defender
212,Juan David Cabal,CB,2023-2024,22,Hellas Verona,Serie A,Central Defender
215,Paweł Dawidowicz,CB,2023-2024,28,Hellas Verona,Serie A,Central Defender
216,Craig Dawson,CB,2023-2024,33,Wolves,Premier League,Central Defender
220,Koni De Winter,CB,2023-2024,21,Genoa,Serie A,Central Defender
223,Alessandro Dellavalle,CB,2023-2024,19,Torino,Serie A,Central Defender
225,Sepp van den Berg,CB,2023-2024,21,Mainz 05,Bundesliga,Central Defender
229,Mouctar Diakhaby,CB,2023-2024,26,Valencia,La Liga,Central Defender
230,Bafodé Diakité,CB,2023-2024,22,Lille,Ligue 1,Central Defender
232,Moussa Diarra,CB,2023-2024,22,Toulouse,Ligue 1,Central Defender
233,Rúben Dias,CB,2023-2024,26,Manchester City,Premier League,Central Defender
235,Víctor Díaz,CB,2023-2024,35,Granada,La Liga,Central Defender
236,Eric Dier,CB,2023-2024,29,Bayern Munich,Bundesliga,Central Defender
239,Sinaly Diomande,CB,2023-2024,22,Lyon,Ligue 1,Central Defender
240,Issa Diop,CB,2023-2024,26,Fulham,Premier League,Central Defender
241,Axel Disasi,CB,2023-2024,25,Chelsea,Premier League,Central Defender
243,Djené,CB,2023-2024,31,Getafe,La Liga,Central Defender
244,Koffi Djidji,CB,2023-2024,30,Torino,Serie A,Central Defender
245,Berat Djimsiti,CB,2023-2024,30,Atalanta,Serie A,Central Defender
247,Danilho Doekhi,CB,2023-2024,25,Union Berlin,Bundesliga,Central Defender
250,Carlos Dominguez,CB,2023-2024,22,Celta Vigo,La Liga,Central Defender
251,Giulio Donati,CB,2023-2024,33,Monza,Serie A,Central Defender
253,Alberto Dossena,CB,2023-2024,24,Cagliari,Serie A,Central Defender
256,Radu Drăgușin,CB,2023-2024,21,Tottenham,Premier League,Central Defender
257,Tim Drexler,CB,2023-2024,18,Hoffenheim,Bundesliga,Central Defender
258,Domingos Duarte,CB,2023-2024,28,Getafe,La Liga,Central Defender
262,Lewis Dunk,CB,2023-2024,31,Brighton,Premier League,Central Defender
263,Jean-Kevin Duverne,CB,2023-2024,26,Nantes,Ligue 1,Central Defender
264,Enzo Ebosse,CB,2023-2024,24,Udinese,Serie A,Central Defender
266,John Egan,CB,2023-2024,30,Sheffield Utd,Premier League,Central Defender
268,Hjalmar Ekdal,CB,2023-2024,24,Burnley,Premier League,Central Defender
269,Aritz Elustondo,CB,2023-2024,29,Real Sociedad,La Liga,Central Defender
270,Nico Elvedi,CB,2023-2024,26,Gladbach,Bundesliga,Central Defender
272,Martin Erlic,CB,2023-2024,25,Sassuolo,Serie A,Central Defender
274,Bernardo Espinosa,CB,2023-2024,34,Girona,La Liga,Central Defender
275,Maxime Estève,CB,2023-2024,21,Burnley,Premier League,Central Defender
277,Jonny Evans,CB,2023-2024,35,Manchester Utd,Premier League,Central Defender
278,Fali,CB,2023-2024,29,Cádiz,La Liga,Central Defender
280,Federico Fazio,CB,2023-2024,36,Salernitana,Serie A,Central Defender
281,Felipe,CB,2023-2024,34,Nott'ham Forest,Premier League,Central Defender
282,Luiz Felipe,CB,2023-2024,26,Betis,La Liga,Central Defender
