,Player,Pos,Season,Age,Team,Comp,Ideal Archetype
398,Jovan Milošević,ST,2023-2024,18.0,Stuttgart,Bundesliga,Complete Forward
399,Marko Milovanović,ST,2023-2024,19.0,Almería,La Liga,Complete Forward
400,Rafa Mir,ST,2023-2024,26.0,Sevilla,La Liga,Complete Forward
402,Aleksandar Mitrović,ST,2023-2024,28.0,Fulham,Premier League,Complete Forward
404,Terem Moffi,ST,2023-2024,24.0,Nice,Ligue 1,Target Man
405,Mostafa Mohamed,ST,2023-2024,25.0,Nantes,Ligue 1,Target Man
406,Alberto Moleiro,ST,2023-2024,19.0,Las Palmas,La Liga,Target Man
407,Kieffer Moore,ST,2023-2024,30.0,Bournemouth,Premier League,Complete Forward
408,Álvaro Morata,ST,2023-2024,30.0,Atlético Madrid,La Liga,Target Man
410,Gerard Moreno,ST,2023-2024,31.0,Villarreal,La Liga,Target Man
411,Carlton Morris,ST,2023-2024,27.0,Luton Town,Premier League,Target Man
413,Lebo Mothiba,ST,2023-2024,27.0,Strasbourg,Ligue 1,Complete Forward
414,Youssoufa Moukoko,ST,2023-2024,18.0,Dortmund,Bundesliga,Complete Forward
415,Steve Mounié,ST,2023-2024,28.0,Brest,Ligue 1,Target Man
416,Divin Mubama,ST,2023-2024,18.0,West Ham,Premier League,Complete Forward
418,Samuele Mulattieri,ST,2023-2024,22.0,Sassuolo,Serie A,Complete Forward
419,Rodrigo Muniz,ST,2023-2024,22.0,Fulham,Premier League,Target Man
420,Luis Muriel,ST,2023-2024,32.0,Atalanta,Serie A,Target Man
421,Vedat Muriqi,ST,2023-2024,29.0,Mallorca,La Liga,Target Man
423,Kingstone Mutandwa,ST,2023-2024,20.0,Cagliari,Serie A,Complete Forward
426,Bassirou Ndiaye,ST,2023-2024,21.0,Lorient,Ligue 1,Complete Forward
428,Michael Ndiweni,ST,2023-2024,19.0,Newcastle Utd,Premier League,Complete Forward
430,Álvaro Negredo,ST,2023-2024,37.0,Cádiz,La Liga,Complete Forward
