,Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,Live,Dead,Sw,Crs,TI,CK,xG,npxG,xA,G-xG,Sh,SoT,Sh Dist,FK,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att.1,Cmp%,KP,1/3,PPA,CrsPA,PrgP,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%
587,Samuele Ricci,DM,2023-2024,21,Italy,Torino,Serie A,32,2395,26.6,28,4,1.3,1.3,2.4,3.6,-0.3,-0.3,5.0,16.7,1121.0,85.6,4.0,4368.0,574.0,91.3,35.0,7.0,20.0,12.0,1050.0,73,1224.0,83.0,68,1.0,3.0,54,7.0,8,4,3.0,21.0,1.0,2,3,1.0,0,0,0.0
588,Declan Rice,CM,2023-2024,24,England,Arsenal,Premier League,38,3225,35.8,37,1,3.3,3.3,4.8,8.6,3.7,3.7,20.0,34.5,2041.0,88.9,2.0,9378.0,1031.0,92.9,70.0,16.0,31.0,22.0,1928.0,64,2181.0,107.0,48,2.0,17.0,60,1.0,47,38,7.0,26.0,7.0,8,15,7.0,0,0,0.0
589,Amir Richardson,CM,2023-2024,21,Morocco,Reims,Ligue 1,28,1352,15.0,14,14,1.6,1.6,1.4,2.8,1.4,1.4,8.0,47.1,534.0,82.0,2.0,1944.0,281.0,83.6,28.0,3.0,23.0,21.0,563.0,40,635.0,14.0,8,3.0,3.0,13,5.0,0,0,2.0,11.0,3.0,1,4,3.0,0,0,0.0
590,Marco Richter,AM,2023-2024,25,Germany,Mainz 05,Bundesliga,20,717,8.0,7,13,1.9,1.9,2.1,3.2,-0.9,-0.9,9.0,23.7,184.0,63.2,3.0,1076.0,111.0,82.0,11.0,9.0,31.0,12.0,296.0,53,256.0,34.0,12,4.0,3.0,36,12.0,10,3,1.0,10.0,1.0,0,1,1.0,0,0,0.0
591,Fabian Rieder,AM,2023-2024,21,Switzerland,Rennes,Ligue 1,15,365,4.1,2,13,0.3,0.3,0.3,0.9,0.7,0.7,2.0,40.0,169.0,79.7,1.0,976.0,76.0,82.9,6.0,1.0,8.0,3.0,172.0,18,196.0,14.0,9,0.0,3.0,9,1.0,4,3,2.0,4.0,1.0,0,1,1.0,0,0,0.0
592,Jaïro Riedewald,CM,2023-2024,26,Netherlands,Crystal Palace,Premier League,9,235,2.6,2,7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,87.0,77.0,0.0,331.0,42.0,88.1,0.0,2.0,4.0,2.0,84.0,3,104.0,7.0,5,0.0,0.0,3,0.0,2,1,2.0,3.0,0.0,0,0,0.0,0,0,0.0
593,Alberto Risco,AM,2023-2024,17,Spain,Getafe,La Liga,4,137,1.5,1,3,0.1,0.1,0.2,0.4,-0.1,-0.1,1.0,50.0,39.0,83.0,0.0,115.0,27.0,92.6,2.0,0.0,6.0,2.0,51.0,14,44.0,3.0,0,0.0,0.0,1,3.0,0,0,0.0,1.0,0.0,0,0,0.0,0,0,0.0
594,Lucas Robertone,DM,2023-2024,26,Argentina,Almería,La Liga,33,2381,26.5,29,4,1.0,1.0,2.2,3.5,-1.0,-1.0,13.0,35.1,1107.0,81.2,9.0,5863.0,594.0,90.4,27.0,4.0,27.0,16.0,1041.0,37,1250.0,105.0,58,10.0,12.0,67,8.0,30,7,8.0,18.0,0.0,5,5,0.0,0,0,0.0
595,Marc Roca,DM,2023-2024,26,Spain,Betis,La Liga,26,1980,22.0,24,2,1.1,1.1,1.7,2.5,0.9,0.9,7.0,35.0,997.0,83.6,0.0,5610.0,522.0,90.6,22.0,6.0,19.0,18.0,957.0,20,1118.0,69.0,59,1.0,14.0,25,4.0,6,2,6.0,13.0,2.0,2,4,2.0,0,0,0.0
596,Sebastian Rode,DM,2023-2024,32,Germany,Eint Frankfurt,Bundesliga,8,61,0.7,1,7,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,44.0,77.2,0.0,232.0,29.0,79.3,2.0,0.0,2.0,0.0,40.0,4,56.0,1.0,0,0.0,0.0,1,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0
